,Name,Label,Formula,Sample,Intensity_x,Unlabeled Fragment,NA Corrected,Intensity_y,NA Corrected with zero,Pool_total,Fractional enrichment
0,Glycine,C12 PARENT,C2H5NO2,SAMPLE_2_10,1527025.0,Glycine,1575870.5481580053,1527025.0,1575870.5481580053,1584735.453851556,0.9944060659007753
1,Glycine,C13-label-1,C2H5NO2,SAMPLE_2_10,50854.17,Glycine,8864.905693550587,50854.17,8864.905693550587,1584735.453851556,0.005593934099224723
2,Glycine,C13-label-2,C2H5NO2,SAMPLE_2_10,0.0,Glycine,-6705.847473469451,0.0,0.0,1584735.453851556,0.0
3,Pyruvic acid,C12 PARENT,C3H4O3,SAMPLE_2_10,260324.9,Pyruvic acid,271300.0378701704,260324.9,271300.0378701704,271320.7911637544,0.9999235101243255
4,Pyruvic acid,C13-label-1,C3H4O3,SAMPLE_2_10,0.0,Pyruvic acid,-9518.009434145051,0.0,0.0,271320.7911637544,0.0
5,Pyruvic acid,C13-label-2,C3H4O3,SAMPLE_2_10,0.0,Pyruvic acid,-1484.166961026269,0.0,0.0,271320.7911637544,0.0
6,Pyruvic acid,C13-label-3,C3H4O3,SAMPLE_2_10,0.0,Pyruvic acid,20.753293584062643,0.0,20.753293584062643,271320.7911637544,7.648987567464776e-05
7,L-Alanine,C12 PARENT,C3H7NO2,SAMPLE_2_10,1398106.0,L-Alanine,1459460.725284347,1398106.0,1459460.725284347,1618762.147479422,0.9015905935018783
8,L-Alanine,C13-label-1,C3H7NO2,SAMPLE_2_10,56777.94,L-Alanine,2124.110106321868,56777.94,2124.110106321868,1618762.147479422,0.001312181724553743
9,L-Alanine,C13-label-2,C3H7NO2,SAMPLE_2_10,160429.3,L-Alanine,157177.31208875275,160429.3,157177.31208875275,1618762.147479422,0.0970972247735678
10,L-Alanine,C13-label-3,C3H7NO2,SAMPLE_2_10,0.0,L-Alanine,-2827.5164460710944,0.0,0.0,1618762.147479422,0.0
11,L-Lactic acid,C12 PARENT,C3H6O3,SAMPLE_2_10,17000000.0,L-Lactic acid,17722025.76612957,17000000.0,17722025.76612957,24207315.402634483,0.7320938101298453
12,L-Lactic acid,C13-label-1,C3H6O3,SAMPLE_2_10,985443.7,L-Lactic acid,388894.99191294744,985443.7,388894.99191294744,24207315.402634483,0.016065184653669774
13,L-Lactic acid,C13-label-2,C3H6O3,SAMPLE_2_10,6040800.0,L-Lactic acid,6036851.903074173,6040800.0,6036851.903074173,24207315.402634483,0.24938130489336222
14,L-Lactic acid,C13-label-3,C3H6O3,SAMPLE_2_10,143973.7,L-Lactic acid,59542.74151779366,143973.7,59542.74151779366,24207315.402634483,0.002459700323122721
15,L-Serine,C12 PARENT,C3H7NO3,SAMPLE_2_10,1878980.0,L-Serine,1966156.2580103443,1878980.0,1966156.2580103443,1996057.9801897095,0.9850196124180104
16,L-Serine,C13-label-1,C3H7NO3,SAMPLE_2_10,80513.45,L-Serine,6435.196449539471,80513.45,6435.196449539471,1996057.9801897095,0.003223952667410922
17,L-Serine,C13-label-2,C3H7NO3,SAMPLE_2_10,35510.25,L-Serine,23466.525729825677,35510.25,23466.525729825677,1996057.9801897095,0.01175643491457867
18,L-Serine,C13-label-3,C3H7NO3,SAMPLE_2_10,0.0,L-Serine,-891.3161582024877,0.0,0.0,1996057.9801897095,0.0
19,Glyceric acid,C12 PARENT,C3H6O4,SAMPLE_2_10,1398985.0,Glyceric acid,1461911.4236773408,1398985.0,1461911.4236773408,1465822.9062672032,0.9973315449136874
20,Glyceric acid,C13-label-1,C3H6O4,SAMPLE_2_10,54397.28,Glyceric acid,3911.4825898623467,54397.28,3911.4825898623467,1465822.9062672032,0.0026684550863126755
21,Glyceric acid,C13-label-2,C3H6O4,SAMPLE_2_10,10650.4,Glyceric acid,-1342.2165063204432,10650.4,0.0,1465822.9062672032,0.0
22,Glyceric acid,C13-label-3,C3H6O4,SAMPLE_2_10,0.0,Glyceric acid,-422.24479338011776,0.0,0.0,1465822.9062672032,0.0
23,Uracil,C12 PARENT,C4H4N2O2,SAMPLE_2_10,88276.95,Uracil,93479.86783894789,88276.95,93479.86783894789,108016.86146385764,0.8654192185562268
24,Uracil,C13-label-1,C4H4N2O2,SAMPLE_2_10,2251.887,Uracil,-2589.959559681832,2251.887,0.0,108016.86146385764,0.0
25,Uracil,C13-label-2,C4H4N2O2,SAMPLE_2_10,14390.18,Uracil,14536.993624909752,14390.18,14536.993624909752,108016.86146385764,0.1345807814437732
26,Uracil,C13-label-3,C4H4N2O2,SAMPLE_2_10,0.0,Uracil,-455.3023681727655,0.0,0.0,108016.86146385764,0.0
27,Uracil,C13-label-4,C4H4N2O2,SAMPLE_2_10,0.0,Uracil,-53.29073556660951,0.0,0.0,108016.86146385764,0.0
28,Creatinine,C12 PARENT,C4H7N3O,SAMPLE_2_10,193143.8,Creatinine,204865.91627124907,193143.8,204865.91627124907,204870.54563363342,0.9999774034751066
29,Creatinine,C13-label-1,C4H7N3O,SAMPLE_2_10,5946.606,Creatinine,-5348.430738798909,5946.606,0.0,204870.54563363342,0.0
30,Creatinine,C13-label-2,C4H7N3O,SAMPLE_2_10,0.0,Creatinine,-431.7200559909577,0.0,0.0,204870.54563363342,0.0
31,Creatinine,C13-label-3,C4H7N3O,SAMPLE_2_10,0.0,Creatinine,3.7146418608573377,0.0,3.7146418608573377,204870.54563363342,1.8131654061683272e-05
32,Creatinine,C13-label-4,C4H7N3O,SAMPLE_2_10,0.0,Creatinine,0.9147205234789154,0.0,0.9147205234789154,204870.54563363342,4.464870831723633e-06
33,L-Proline,C12 PARENT,C5H9NO2,SAMPLE_2_10,2312758.0,L-Proline,2469494.4198452993,2312758.0,2469494.4198452993,2481209.075412423,0.9952786503631595
34,L-Proline,C13-label-1,C5H9NO2,SAMPLE_2_10,111809.5,L-Proline,-33074.201417949596,111809.5,0.0,2481209.075412423,0.0
35,L-Proline,C13-label-2,C5H9NO2,SAMPLE_2_10,22587.88,L-Proline,11712.334965943177,22587.88,11712.334965943177,2481209.075412423,0.004720414366530709
36,L-Proline,C13-label-3,C5H9NO2,SAMPLE_2_10,0.0,L-Proline,-935.2046870371672,0.0,0.0,2481209.075412423,0.0
37,L-Proline,C13-label-4,C5H9NO2,SAMPLE_2_10,0.0,L-Proline,-44.47322990491632,0.0,0.0,2481209.075412423,0.0
38,L-Proline,C13-label-5,C5H9NO2,SAMPLE_2_10,0.0,L-Proline,2.3206011803288416,0.0,2.3206011803288416,2481209.075412423,9.35270309674776e-07
39,Fumaric acid,C12 PARENT,C4H4O4,SAMPLE_2_10,715794.8,Fumaric acid,756160.288855031,715794.8,756160.288855031,764740.7695448346,0.9887798832865801
40,Fumaric acid,C13-label-1,C4H4O4,SAMPLE_2_10,13834.82,Fumaric acid,-20768.775497761846,13834.82,0.0,764740.7695448346,0.0
41,Fumaric acid,C13-label-2,C4H4O4,SAMPLE_2_10,13946.07,Fumaric acid,8580.480689803611,13946.07,8580.480689803611,764740.7695448346,0.01122011671341992
42,Fumaric acid,C13-label-3,C4H4O4,SAMPLE_2_10,0.0,Fumaric acid,-316.3753967359039,0.0,0.0,764740.7695448346,0.0
43,Fumaric acid,C13-label-4,C4H4O4,SAMPLE_2_10,0.0,Fumaric acid,-81.13930414014959,0.0,0.0,764740.7695448346,0.0
44,L-Valine,C12 PARENT,C5H11NO2,SAMPLE_2_10,12100000.0,L-Valine,12923898.117414435,12100000.0,12923898.117414435,12923914.45696978,0.9999987357115834
45,L-Valine,C13-label-1,C5H11NO2,SAMPLE_2_10,730215.6,L-Valine,-23512.783907579087,730215.6,0.0,12923914.45696978,0.0
46,L-Valine,C13-label-2,C5H11NO2,SAMPLE_2_10,55442.96,L-Valine,-11952.212398987645,55442.96,0.0,12923914.45696978,0.0
47,L-Valine,C13-label-3,C5H11NO2,SAMPLE_2_10,0.0,L-Valine,-2791.0936520268046,0.0,0.0,12923914.45696978,0.0
