Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C12 PARENT,Glycine,1527025,597881,1493731,687785.4,4115360,4215435,3682243,1085598,1216425,1047630,559133.9,470135.1,545311.4,3768813,4573276,4374302,1435179,1153084,1195179,346971.3,490350.6,890309.2,4625492,4537402,C2H5NO2
C13-label-1,Glycine,50854.17,9897.348,51972.72,20836.44,114421.2,115992.7,106902.2,34020.14,53292.33,62087.08,22136.6,17818.27,25099.05,96397.69,128556.2,115259.8,64749.72,56709.27,19888.64,4149.103,6298.243,24053.49,115663.5,98939.13,C2H5NO2
C13-label-2,Glycine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H5NO2
C12 PARENT,Pyruvic acid,260324.9,0,287515.1,278947.8,267359.3,0,277698,238459.6,300171.8,268835,261086,0,0,306880,287311.5,249407.5,242309.2,0,0,0,0,298470.8,269028.1,0,C3H4O3
C13-label-1,Pyruvic acid,0,0,7354.636,0,0,0,0,0,0,0,0,0,0,0,11780.98,0,0,0,0,0,0,0,0,0,C3H4O3
C13-label-2,Pyruvic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H4O3
C13-label-3,Pyruvic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H4O3
C12 PARENT,L-Alanine,1398106,978966.1,2164382,1042137,1502279,1795525,1529756,806529.1,923206.5,877098.7,812827.9,504623.9,730126.1,1363320,1508379,1615427,1827115,876162.5,1058516,562008.9,755521.8,1732436,1646096,1838709,C3H7NO2
C13-label-1,L-Alanine,56777.94,54017.71,87004.96,49665.33,91123.5,77285.8,77817.62,34845.15,31761.62,269742.1,267802.8,254214.5,250231.4,637686.9,620222.2,701240.9,314179,303406.3,32825.83,12860.18,6121.014,64032.66,77993.39,65396.98,C3H7NO2
C13-label-2,L-Alanine,160429.3,103712.1,120775.4,117618.4,317565.2,243689.5,260352.9,142700.8,124979.2,12763.67,3878.915,9258.876,11294.11,6546.265,7960.321,28955.24,5290.435,7104.564,0,0,0,0,4298.089,0,C3H7NO2
C13-label-3,L-Alanine,0,7160.833,2508.446,4915.629,5873.922,0,5701.408,0,0,0,0,0,0,0,0,6651.545,0,0,0,0,3783.951,0,7845.431,5236.364,C3H7NO2
C12 PARENT,L-Lactic acid,17000000,33000000,85100000,32100000,41900000,43700000,56300000,15700000,15900000,9232108,17700000,16300000,19000000,17300000,25000000,28700000,16900000,13300000,21100000,25300000,30500000,35600000,70500000,71200000,C3H6O3
C13-label-1,L-Lactic acid,985443.7,2139962,4056523,2079239,3618477,3468629,3986538,957257.3,914428.7,9268623,12700000,10700000,10900000,53500000,57300000,56000000,8420891,9461305,805479.8,983360.5,1245431,1497974,2924623,2826834,C3H6O3
C13-label-2,L-Lactic acid,6040800,7590400,6788962,7167790,33400000,32100000,32000000,4951864,5538754,313597,879599.7,773847.2,750075.8,2278033,2468434,2457605,348452.4,383464.4,127583.5,42788.09,155020,205634.1,240376.5,170996.3,C3H6O3
C13-label-3,L-Lactic acid,143973.7,571348.8,525581.3,538649.7,1208367,1054543,1091668,113159.8,83177.73,8130.419,108610.7,103602,110151.8,188172.7,198267.3,178020.1,6480.461,31757.7,76398.26,234146,267693.6,296065,664483.4,527762.1,C3H6O3
C12 PARENT,L-Serine,1878980,2033442,8258700,2223285,2605953,3398011,2905972,1013362,1196288,1288080,1755243,1091017,1811841,2627513,3129816,3320643,4526482,1621036,1529619,1003456,1205695,2746098,2787555,3091970,C3H7NO3
C13-label-1,L-Serine,80513.45,67145.21,265934.9,86972.02,81188.93,126722.1,85912.77,38183.94,39915.91,108714.6,92854.62,77405.91,97641.31,111853.6,120426.6,122328.7,197175.3,117515.4,44401.53,34309.39,51340.95,100077,91777.79,112921.2,C3H7NO3
C13-label-2,L-Serine,35510.25,11559.52,51296.06,13306.65,12298.1,15546.92,0,34166.33,32105.57,2804.729,6566.012,2644.654,4366.578,5217.476,7435.006,8555.667,16516.7,3446.505,3158.769,2898.489,2812.263,9855.636,6716.855,12737.77,C3H7NO3
C13-label-3,L-Serine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H7NO3
C12 PARENT,Glyceric acid,1398985,893591.1,1320473,1215443,1077211,1186458,900379.2,1243702,1382905,1391087,997996.8,1049954,1011080,962295.2,1140189,1108968,1165252,1330986,1377011,1052006,1337073,1125120,1028211,1259046,C3H6O4
C13-label-1,Glyceric acid,54397.28,13135.46,31754.71,22010.1,13559.96,48806.29,9974.049,12697.88,26218.1,44530.47,50208.68,34686.82,65785.7,129935.6,119435.7,131162.2,32423.39,33011.91,31165.03,10627.77,33555.64,59057.56,8440.739,29818.77,C3H6O4
C13-label-2,Glyceric acid,10650.4,0,8999.771,6959.461,37220.07,34593.2,16889.77,7965.785,10314.32,7711.373,0,0,0,0,0,0,15008.81,0,0,7281.578,0,0,0,0,C3H6O4
C13-label-3,Glyceric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H6O4
C12 PARENT,Uracil,88276.95,71384.62,67149.26,55898.53,129559,82472.18,90006.77,94091.35,148026.1,75007.5,106339.4,119464,97537.87,190570.8,139980.5,136131.1,136746.9,62918.53,144754.1,95796.77,69315.19,73953.8,90114,66319.57,C4H4N2O2
C13-label-1,Uracil,2251.887,0,0,0,2805.742,1836.229,0,2410.485,0,4398.557,0,0,2321.17,0,6177.745,2678.768,7338.645,0,6196.115,0,0,0,3801.02,0,C4H4N2O2
C13-label-2,Uracil,14390.18,8366.071,0,0,9016.368,0,0,9028.57,0,0,0,0,0,0,11553.13,0,0,10840.56,0,8496.419,11639.43,0,9864.922,0,C4H4N2O2
C13-label-3,Uracil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H4N2O2
C13-label-4,Uracil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H4N2O2
C12 PARENT,Creatinine,193143.8,46282.16,81813.57,49692.59,643405.3,668741.6,519257.4,243388.9,208509.1,223778.7,50754.38,65213.63,53852.23,508620.3,734092,750585.3,169306.9,231362.7,195092.8,54040.77,46485.16,70552.5,892513.8,949260.8,C4H7N3O
C13-label-1,Creatinine,5946.606,0,2194.499,0,32358.08,31399.89,17337.41,4666.339,4196.479,3629.952,0,2025.935,0,28865.83,37710.65,47292.55,3075.531,2772.085,4319.407,0,0,0,46596.04,39107.91,C4H7N3O
C13-label-2,Creatinine,0,0,0,0,0,0,0,0,0,21401.15,29331.25,0,21787.71,25505.24,16636.79,28520.65,25306.66,30405.96,23001.25,0,0,0,0,0,C4H7N3O
C13-label-3,Creatinine,0,0,2362.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104.206,0,0,2927.476,2075.456,C4H7N3O
