Component Name,Original Filename,Area,Mass Info,Sample Name
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,2710000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,2820000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,2590000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min13 | Sample Number = 173,2520000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min13 | Sample Number = 173
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,2480000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min11 | Sample Number = 157,2050000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min11 | Sample Number = 157
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,1920000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min10 | Sample Number = 171,2100000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min10 | Sample Number = 171
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,2490000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min9 | Sample Number = 141,2150000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min9 | Sample Number = 141
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min14 | Sample Number = 181,2130000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min14 | Sample Number = 181
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min12 | Sample Number = 183,1590000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min12 | Sample Number = 183
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min10 | Sample Number = 149,1740000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min10 | Sample Number = 149
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min7 | Sample Number = 143,1720000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min7 | Sample Number = 143
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min7 | Sample Number = 147,1750000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min7 | Sample Number = 147
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min12 | Sample Number = 165,1940000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min12 | Sample Number = 165
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min12 | Sample Number = 182,1930000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min12 | Sample Number = 182
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min11 | Sample Number = 174,1840000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min11 | Sample Number = 174
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min9 | Sample Number = 163,1640000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min9 | Sample Number = 163
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,1400000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min11 | Sample Number = 179,1500000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min11 | Sample Number = 179
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min9 | Sample Number = 159,1360000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min9 | Sample Number = 159
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,1190000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min10 | Sample Number = 167,1570000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min10 | Sample Number = 167
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min10 | Sample Number = 168,1290000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min10 | Sample Number = 168
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min7 | Sample Number = 142,1480000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min7 | Sample Number = 142
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min7 | Sample Number = 145,1030000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min7 | Sample Number = 145
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min8 | Sample Number = 151,1350000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min8 | Sample Number = 151
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min8 | Sample Number = 155,1230000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min8 | Sample Number = 155
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,1030000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min11 | Sample Number = 176,1190000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min11 | Sample Number = 176
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min11 | Sample Number = 175,1080000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min11 | Sample Number = 175
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min12 | Sample Number = 185,1080000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min12 | Sample Number = 185
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min9 | Sample Number = 158,1360000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min9 | Sample Number = 158
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min10 | Sample Number = 166,1000000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min10 | Sample Number = 166
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min7 | Sample Number = 144,1200000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min7 | Sample Number = 144
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,1400000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min8 | Sample Number = 150,1300000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min8 | Sample Number = 150
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min12 | Sample Number = 184,991000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min12 | Sample Number = 184
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min9 | Sample Number = 161,918000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min9 | Sample Number = 161
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,1100000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min9 | Sample Number = 160,958000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min9 | Sample Number = 160
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min8 | Sample Number = 152,758000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min8 | Sample Number = 152
