,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Label,frag_keys,NA Corrected,NA Corrected with zero,Pool_total,Fractional enrichment
0,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,2710000,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2860405.0,2860405.0,2907233.9999999995,0.9838922494714909
1,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,2820000,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2976510.0,2976510.0,3008970.9999999995,0.9892119266021508
2,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,2590000,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2733745.0,2733745.0,2767500.99,0.987802718003725
3,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min13 | Sample Number = 173,2520000,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min13 | Sample Number = 173,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2659860.0,2659860.0,2756766.0,0.9648479413921965
4,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,2480000,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2617640.0,2617640.0,2656166.9999999995,0.985495264416733
5,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min11 | Sample Number = 157,2050000,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min11 | Sample Number = 157,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2163775.0,2163775.0,2254637.0,0.9596999428289343
6,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,1920000,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2026560.0,2026560.0,2060567.0,0.9834962900987932
7,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min10 | Sample Number = 171,2100000,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min10 | Sample Number = 171,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2216550.0,2216550.0,2479412.14,0.8939820710888348
8,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,2490000,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2628195.0,2628195.0,2666237.74,0.9857316774759928
9,Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min9 | Sample Number = 141,2150000,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min9 | Sample Number = 141,C5H6NO3,Glutamate 146/128,C5H8NO4,M+0,Glutamate,C13_146.0_128.0,"MultiquantKey(name='Glutamate 146/128', formula='C5H6NO3', parent='Glutamate 146/128', parent_formula='C5H8NO4')",2269325.0,2269325.0,2355632.9999999995,0.9633610159137694
