,Name,Label,Formula,Sample,Intensity_x,Unlabeled Fragment,Indistinguishable_isotope,NA Corrected,Intensity_y,NA Corrected with zero,Pool_total,Fractional enrichment
0,glucose-6-phosphate,C12 PARENT,C6H13O9P,A12_1,85751.28,glucose-6-phosphate,"{'C': ['H', u'O']}",93633.54013849104,85751.28,93633.54013849104,477270.0630678693,0.19618565542665528
1,glucose-6-phosphate,C13-label-1,C6H13O9P,A12_1,12179.52,glucose-6-phosphate,"{'C': ['H', u'O']}",6689.416355317097,12179.52,6689.416355317097,477270.0630678693,0.014015998221882695
2,glucose-6-phosphate,C13-label-2,C6H13O9P,A12_1,345720.09,glucose-6-phosphate,"{'C': ['H', u'O']}",367186.96155425283,345720.09,367186.96155425283,477270.0630678693,0.7693484045364013
3,glucose-6-phosphate,C13-label-3,C6H13O9P,A12_1,12830.81,glucose-6-phosphate,"{'C': ['H', u'O']}",-4188.956976402933,12830.81,0.0,477270.0630678693,0.0
4,glucose-6-phosphate,C13-label-4,C6H13O9P,A12_1,15879.57,glucose-6-phosphate,"{'C': ['H', u'O']}",9760.145019808342,15879.57,9760.145019808342,477270.0630678693,0.020449941815060834
5,glucose-6-phosphate,C13-label-5,C6H13O9P,A12_1,0.0,glucose-6-phosphate,"{'C': ['H', u'O']}",-498.0541928233245,0.0,0.0,477270.0630678693,0.0
6,6-phospho-D-gluconate,C12 PARENT,C6H13O10P,A12_1,285.51,6-phospho-D-gluconate,"{'C': ['H', u'O']}",312.5134952503545,285.51,312.5134952503545,27411.885482304442,0.011400656676903728
7,6-phospho-D-gluconate,C13-label-1,C6H13O10P,A12_1,560.53,6-phospho-D-gluconate,"{'C': ['H', u'O']}",585.276583863252,560.53,585.276583863252,27411.885482304442,0.021351197612476287
8,6-phospho-D-gluconate,C13-label-2,C6H13O10P,A12_1,24736.69,6-phospho-D-gluconate,"{'C': ['H', u'O']}",26458.63503697811,24736.69,26458.63503697811,27411.885482304442,0.9652249223811439
9,6-phospho-D-gluconate,C13-label-3,C6H13O10P,A12_1,615.21,6-phospho-D-gluconate,"{'C': ['H', u'O']}",-632.3231818424538,615.21,0.0,27411.885482304442,0.0
10,6-phospho-D-gluconate,C13-label-4,C6H13O10P,A12_1,561.98,6-phospho-D-gluconate,"{'C': ['H', u'O']}",55.46036621272515,561.98,55.46036621272515,27411.885482304442,0.002023223329476085
11,fructose-1-6-bisphosphate,C12 PARENT,C6H14O12P2,A12_1,8834.07,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",9717.878724814062,8834.07,9717.878724814062,445750.4811904259,0.021801162612009733
12,fructose-1-6-bisphosphate,C13-label-1,C6H14O12P2,A12_1,9580.26,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",9742.643205709244,9580.26,9742.643205709244,445750.4811904259,0.021856719435704115
13,fructose-1-6-bisphosphate,C13-label-2,C6H14O12P2,A12_1,372706.12,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",400430.7289256069,372706.12,400430.7289256069,445750.4811904259,0.8983293250883596
14,fructose-1-6-bisphosphate,C13-label-3,C6H14O12P2,A12_1,18793.81,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",163.9452438861881,18793.81,163.9452438861881,445750.4811904259,0.00036779599978973486
15,fructose-1-6-bisphosphate,C13-label-4,C6H14O12P2,A12_1,33946.75,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",25695.28509040957,33946.75,25695.28509040957,445750.4811904259,0.057644996864136794
16,fructose-1-6-bisphosphate,C13-label-5,C6H14O12P2,A12_1,351.24,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",-821.099284182641,351.24,0.0,445750.4811904259,0.0
17,fructose-1-6-bisphosphate,C13-label-6,C6H14O12P2,A12_1,318.1,fructose-1-6-bisphosphate,"{'C': ['H', u'O']}",-401.42549764385893,318.1,0.0,445750.4811904259,0.0
