Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C12 PARENT,Glycine,1527025.0,597881.0,1493731.0,687785.4,4115360.0,4215435.0,3682243.0,1085598.0,1216425.0,1047630.0,559133.9,470135.1,545311.4,3768813.0,4573276.0,4374302.0,1435179.0,1153084.0,1195179.0,346971.3,490350.6,890309.2,4625492.0,4537402.0,C2H5NO2
C13-label-1,Glycine,50854.17,9897.348,51972.72,20836.44,114421.2,115992.7,106902.2,34020.14,53292.33,62087.08,22136.6,17818.27,25099.05,96397.69,128556.2,115259.8,64749.72,56709.27,19888.64,4149.103,6298.243,24053.49,115663.5,98939.13,C2H5NO2
C13-label-2,Glycine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C2H5NO2
N15-label-1,Glycine,3031.57,0.0,5768.295,0.0,14162.82,15004.59,6930.209,0.0,2830.052,0.0,3329.88,0.0,0.0,0.0,14587.11,15661.43,6523.85,0.0,37709.45,5903.567,13551.33,13755.18,23725.8,33088.65,C2H5NO2
C13N15-label-1-1,Glycine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C2H5NO2
C13N15-label-2-1,Glycine,0.0,0.0,0.0,0.0,0.0,0.0,3899.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2552.99,0.0,C2H5NO2
C12 PARENT,Pyruvic acid,260324.9,0.0,287515.1,278947.8,267359.3,0.0,277698.0,238459.6,300171.8,268835.0,261086.0,0.0,0.0,306880.0,287311.5,249407.5,242309.2,0.0,0.0,0.0,0.0,298470.8,269028.1,0.0,C3H4O3
C13-label-1,Pyruvic acid,0.0,0.0,7354.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11780.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C3H4O3
C13-label-2,Pyruvic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C3H4O3
C13-label-3,Pyruvic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C3H4O3
C12 PARENT,L-Alanine,1398106.0,978966.1,2164382.0,1042137.0,1502279.0,1795525.0,1529756.0,806529.1,923206.5,877098.7,812827.9,504623.9,730126.1,1363320.0,1508379.0,1615427.0,1827115.0,876162.5,1058516.0,562008.9,755521.8,1732436.0,1646096.0,1838709.0,C3H7NO2
C13-label-1,L-Alanine,56777.94,54017.71,87004.96,49665.33,91123.5,77285.8,77817.62,34845.15,31761.62,269742.1,267802.8,254214.5,250231.4,637686.9,620222.2,701240.9,314179.0,303406.3,32825.83,12860.18,6121.014,64032.66,77993.39,65396.98,C3H7NO2
C13-label-2,L-Alanine,160429.3,103712.1,120775.4,117618.4,317565.2,243689.5,260352.9,142700.8,124979.2,12763.67,3878.915,9258.876,11294.11,6546.265,7960.321,28955.24,5290.435,7104.564,0.0,0.0,0.0,0.0,4298.089,0.0,C3H7NO2
C13-label-3,L-Alanine,0.0,7160.833,2508.446,4915.629,5873.922,0.0,5701.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6651.545,0.0,0.0,0.0,0.0,3783.951,0.0,7845.431,5236.364,C3H7NO2
N15-label-1,L-Alanine,0.0,0.0,2334.349,3629.572,6560.559,9552.755,0.0,0.0,0.0,3509.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191385.2,137893.7,161668.7,176803.6,333247.2,298931.3,C3H7NO2
