,Name,Label,Formula,Sample,Intensity_x,Unlabeled Fragment,NA Corrected,Intensity_y,NA Corrected with zero,Pool_total,Fractional enrichment
0,Glucosepentaacetate,C12 PARENT,C16H22O11,sample1,0.57137616,Glucosepentaacetate,0.7037145325901396,0.57137616,0.7037145325901396,1.0056735083948354,0.6997445261468056
1,Glucosepentaacetate,C13-label-1,C16H22O11,sample1,0.10365168599999999,Glucosepentaacetate,-0.004104075129423512,0.10365168599999999,0.0,1.0056735083948354,0.0
2,Glucosepentaacetate,C13-label-2,C16H22O11,sample1,0.272023831,Glucosepentaacetate,0.3017928427037745,0.272023831,0.3017928427037745,1.0056735083948354,0.30009027799237625
3,Glucosepentaacetate,C13-label-3,C16H22O11,sample1,0.04274463,Glucosepentaacetate,-0.0015686922224460442,0.04274463,0.0,1.0056735083948354,0.0
4,Glucosepentaacetate,C13-label-4,C16H22O11,sample1,0.008983722,Glucosepentaacetate,0.00016285009780465237,0.008983722,0.00016285009780465237,1.0056735083948354,0.00016193137876782584
5,Glucosepentaacetate,C13-label-5,C16H22O11,sample1,0.001073253,Glucosepentaacetate,2.778003611870073e-06,0.001073253,2.778003611870073e-06,1.0056735083948354,2.76233150091034e-06
6,Glucosepentaacetate,C13-label-6,C16H22O11,sample1,0.000132758,Glucosepentaacetate,-2.3560814484870226e-07,0.000132758,0.0,1.0056735083948354,0.0
7,GlucoseTMS,C12 PARENT,C9O12H15Si,sample1,0.1627,GlucoseTMS,0.20120737839243646,0.1627,0.20120737839243646,1.0060633590992913,0.1999947384750931
8,GlucoseTMS,C13-label-1,C9O12H15Si,sample1,0.0242,GlucoseTMS,-0.001985261590364426,0.0242,0.0,1.0060633590992913,0.0
9,GlucoseTMS,C13-label-2,C9O12H15Si,sample1,0.0104,GlucoseTMS,-0.0005946322863180703,0.0104,0.0,1.0060633590992913,0.0
10,GlucoseTMS,C13-label-3,C9O12H15Si,sample1,0.2507,GlucoseTMS,0.2985049491676317,0.2507,0.2985049491676317,1.0060633590992913,0.29670591466016344
11,GlucoseTMS,C13-label-4,C9O12H15Si,sample1,0.0317,GlucoseTMS,0.00033831718247943204,0.0317,0.00033831718247943204,1.0060633590992913,0.0003362782069534077
12,GlucoseTMS,C13-label-5,C9O12H15Si,sample1,0.0181,GlucoseTMS,0.002477837824100634,0.0181,0.002477837824100634,1.0060633590992913,0.0024629043505957652
13,GlucoseTMS,C13-label-6,C9O12H15Si,sample1,0.4347,GlucoseTMS,0.5008499622723581,0.4347,0.5008499622723581,1.0060633590992913,0.49783143153206494
