,Name,Label,Formula,Sample,Intensity_x,Unlabeled Fragment,Indistinguishable_isotope,NA Corrected,Intensity_y,NA Corrected with zero,Pool_total,Fractional enrichment
0,Glutathione,C12 PARENT,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",9.867203577871191e-17,0.0,9.867203577871191e-17,1.023658051278511,9.639159840092519e-17
1,Glutathione,C13-label-1,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",6.476386674110357e-17,0.0,6.476386674110357e-17,1.023658051278511,6.326709066588779e-17
2,Glutathione,C13-label-2,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",2.1934586154843733e-17,0.0,2.1934586154843733e-17,1.023658051278511,2.1427649719013343e-17
3,Glutathione,C13-label-3,C10H17N3O6S,Sample 1,0.17800000000000002,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.20777352577671573,0.17800000000000002,0.20777352577671573,1.023658051278511,0.20297161294947497
4,Glutathione,C13-label-4,C10H17N3O6S,Sample 1,0.013000000000000001,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-0.0016322726857634674,0.013000000000000001,0.0,1.023658051278511,0.0
5,Glutathione,C13-label-5,C10H17N3O6S,Sample 1,0.0002,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-0.00023560189062001575,0.0002,0.0,1.023658051278511,0.0
6,Glutathione,C13-label-6,C10H17N3O6S,Sample 1,0.0001,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.00011853493282921318,0.0001,0.00011853493282921318,1.023658051278511,0.0001157954384095035
7,Glutathione,C13N15-label-1-3,C10H17N3O6S,Sample 1,0.0785,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.0005284965873876388,0.0785,0.0005284965873876388,1.023658051278511,0.0005162823530060318
8,Glutathione,C13N15-label-1-1,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-1.3059464291970934e-07,0.0,0.0,1.023658051278511,0.0
9,Glutathione,C13N15-label-1-2,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",9.402814294141536e-10,0.0,9.402814294141536e-10,1.023658051278511,9.185503188684708e-10
10,Glutathione,C13N15-label-2-2,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",4.928318675756605e-09,0.0,4.928318675756605e-09,1.023658051278511,4.814418906392929e-09
11,Glutathione,C13N15-label-2-3,C10H17N3O6S,Sample 1,0.0047,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.0007259022005664291,0.0047,0.0007259022005664291,1.023658051278511,0.0007091256691233993
12,Glutathione,C13N15-label-3-1,C10H17N3O6S,Sample 1,0.0016,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-0.00038299634597383484,0.0016,0.0,1.023658051278511,0.0
13,Glutathione,C13N15-label-3-2,C10H17N3O6S,Sample 1,0.0091,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.0013311857662333885,0.0091,0.0013311857662333885,1.023658051278511,0.0013004203547960051
14,Glutathione,C13N15-label-3-3,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-0.00030008081163178884,0.0,0.0,1.023658051278511,0.0
15,Glutathione,C13N15-label-4-1,C10H17N3O6S,Sample 1,0.0004,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.000328667133316872,0.0004,0.000328667133316872,1.023658051278511,0.0003210712140703421
16,Glutathione,C13N15-label-4-2,C10H17N3O6S,Sample 1,0.0007,Glutathione,"{'C': ['O17'], 'N': ['S34']}",2.7677775632033735e-05,0.0007,2.7677775632033735e-05,1.023658051278511,2.7038106716852587e-05
17,Glutathione,C13N15-label-4-3,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-2.447952814109556e-06,0.0,0.0,1.023658051278511,0.0
18,Glutathione,C13N15-label-5-1,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-2.407404810506532e-05,0.0,0.0,1.023658051278511,0.0
19,Glutathione,C13N15-label-5-3,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",9.33936518315898e-07,0.0,9.33936518315898e-07,1.023658051278511,9.123520468084493e-07
20,Glutathione,C13N15-label-6-1,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-4.6525923108345994e-07,0.0,0.0,1.023658051278511,0.0
21,Glutathione,C13N15-label-6-3,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-1.6236292521366505e-08,0.0,0.0,1.023658051278511,0.0
22,Glutathione,N15-label-1,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",3.311852343469021e-06,0.0,3.311852343469021e-06,1.023658051278511,3.2353111855395854e-06
23,Glutathione,N15-label-2,C10H17N3O6S,Sample 1,0.0,Glutathione,"{'C': ['O17'], 'N': ['S34']}",-2.3845336926830135e-08,0.0,0.0,1.023658051278511,0.0
24,Glutathione,N15-label-3,C10H17N3O6S,Sample 1,0.6808,Glutathione,"{'C': ['O17'], 'N': ['S34']}",0.8128194561740073,0.6808,0.8128194561740073,1.023658051278511,0.7940341554084647
