Formula,Label,Name,Sample 1
C10H17N3O6S,C12 PARENT,Glutathione,0
C10H17N3O6S,C13-label-1,Glutathione,0
C10H17N3O6S,C13-label-2,Glutathione,0
C10H17N3O6S,C13-label-3,Glutathione,0.178
C10H17N3O6S,C13-label-4,Glutathione,0.013
C10H17N3O6S,C13-label-5,Glutathione,0.0002
C10H17N3O6S,C13-label-6,Glutathione,0.0001
C10H17N3O6S,C13N15-label-1-3,Glutathione,0.0785
C10H17N3O6S,C13N15-label-1-5,Glutathione,0.0034
C10H17N3O6S,C13N15-label-2-5,Glutathione,0.0005
C10H17N3O6S,C13N15-label-1-1,Glutathione,0
C10H17N3O6S,C13N15-label-1-2,Glutathione,0
C10H17N3O6S,C13N15-label-2-2,Glutathione,0
C10H17N3O6S,C13N15-label-2-3,Glutathione,0.0047
C10H17N3O6S,C13N15-label-3-1,Glutathione,0.0016
C10H17N3O6S,C13N15-label-3-2,Glutathione,0.0091
C10H17N3O6S,C13N15-label-3-3,Glutathione,0
C10H17N3O6S,C13N15-label-4-1,Glutathione,0.0004
C10H17N3O6S,C13N15-label-4-2,Glutathione,0.0007
C10H17N3O6S,C13N15-label-4-3,Glutathione,0
C10H17N3O6S,C13N15-label-5-1,Glutathione,0
C10H17N3O6S,C13N15-label-5-3,Glutathione,0
C10H17N3O6S,C13N15-label-6-1,Glutathione,0
C10H17N3O6S,C13N15-label-6-3,Glutathione,0
C10H17N3O6S,N15-label-1,Glutathione,0
C10H17N3O6S,N15-label-2,Glutathione,0
C10H17N3O6S,N15-label-3,Glutathione,0.6808
C10H17N3O6S,N15-label-5,Glutathione,0.029
