,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Sample Number,Replicate,Background Sample,Label,frag_keys,Background Corrected,Background Corrected with zero,NA Corrected,NA Corrected with zero,Pool_total,Fractional enrichment
0,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,187000,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,140,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",187000.0,187000.0,195302.8,195302.8,195327.09999999998,0.9998755932996497
1,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,13300,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,140,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",6888.0,6888.0,-1185.43,0.0,195327.09999999998,0.0
2,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,2470,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,140,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-1049.0,0.0,-1301.66,0.0,195327.09999999998,0.0
3,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,601,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,140,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",1.0,1.0,24.3,24.3,195327.09999999998,0.00012440670035033543
4,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,0,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,140,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-266.0,0.0,-266.01,0.0,195327.09999999998,0.0
5,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,131000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,146,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",131000.0,131000.0,136816.4,136816.4,353903.0,0.3865929364825955
6,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,28600,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,146,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",22188.0,22188.0,17110.46,17110.46,353903.0,0.04834788063395902
7,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,82700,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,146,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",79181.0,79181.0,80199.96,80199.96,353903.0,0.22661565457201552
8,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,93100,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,146,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",92500.0,92500.0,91768.93,91768.93,353903.0,0.2593053181238927
9,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,29300,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,146,1,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",29034.0,29034.0,28007.25,28007.25,353903.0,0.07913821018753726
10,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,279000,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,148,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",279000.0,279000.0,291387.6,291387.6,291800.51999999996,0.9985849237006158
