,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Sample Number,Background Sample,Condition,Label Type,Metadata,Label,frag_keys,Background Corrected,NA Corrected,NA Corrected with zero,Frac Enrichment
0,Taurine 124/80,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,139400.0,1G NA,O3S,Taurine 124/80,C2H6NO3S,M+0,Taurine,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_124.0_80.0,"MultiquantKey(name='Taurine 124/80', formula='O3S', parent='Taurine 124/80', parent_formula='C2H6NO3S')",139400.0,142494.68,142494.68,1.0
1,Succinate 117/73,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,110700.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+0,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_117.0_73.0,"MultiquantKey(name='Succinate 117/73', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",110700.0,115615.08,115615.08,1.0218
2,Succinate 118/73,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1100.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+1,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_118.0_73.0,"MultiquantKey(name='Succinate 118/73', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",337.0,-880.55,0.0,-0.0078
3,Succinate 118/74,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,4000.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+1,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_118.0_74.0,"MultiquantKey(name='Succinate 118/74', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",2718.0,-877.8,0.0,-0.0078
4,Succinate 119/74,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,0.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+2,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_119.0_74.0,"MultiquantKey(name='Succinate 119/74', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",-353.0,-402.23,0.0,-0.0036
5,Succinate 119/75,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1300.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+2,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_119.0_75.0,"MultiquantKey(name='Succinate 119/75', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",41.0,-18.43,0.0,-0.0002
6,Succinate 120/75,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,0.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+3,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_120.0_75.0,"MultiquantKey(name='Succinate 120/75', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",-199.0,-193.83,0.0,-0.0017
7,Succinate 120/76,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,0.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+3,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_120.0_76.0,"MultiquantKey(name='Succinate 120/76', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",0.0,-0.46,0.0,-0.0
8,Succinate 121/76,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,0.0,1G NA,C3H5O2,Succinate 117/73,C4H5O4,M+4,Succinate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_121.0_76.0,"MultiquantKey(name='Succinate 121/76', formula='C3H5O2', parent='Succinate 117/73', parent_formula='C4H5O4')",-100.0,-97.79,0.0,-0.0009
9,Pyruvate 87/87,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,56233.54,1G NA,C3H3O3,Pyruvate 87/87,C3H3O3,M+0,Pyruvate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_87.0_87.0,"MultiquantKey(name='Pyruvate 87/87', formula='C3H3O3', parent='Pyruvate 87/87', parent_formula='C3H3O3')",56234.0,58106.59,58106.59,1.0138
10,Pyruvate 88/88,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,2378.38,1G NA,C3H3O3,Pyruvate 87/87,C3H3O3,M+1,Pyruvate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_88.0_88.0,"MultiquantKey(name='Pyruvate 88/88', formula='C3H3O3', parent='Pyruvate 87/87', parent_formula='C3H3O3')",1302.0,-541.69,0.0,-0.0095
11,Pyruvate 89/89,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,773.71,1G NA,C3H3O3,Pyruvate 87/87,C3H3O3,M+2,Pyruvate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_89.0_89.0,"MultiquantKey(name='Pyruvate 89/89', formula='C3H3O3', parent='Pyruvate 87/87', parent_formula='C3H3O3')",-137.0,-167.43,0.0,-0.0029
12,Pyruvate 90/90,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,122.11,1G NA,C3H3O3,Pyruvate 87/87,C3H3O3,M+3,Pyruvate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_90.0_90.0,"MultiquantKey(name='Pyruvate 90/90', formula='C3H3O3', parent='Pyruvate 87/87', parent_formula='C3H3O3')",-83.0,-81.48,0.0,-0.0014
13,PEP 167/79,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,15852.0,1G NA,PO3,PEP 167/79,C3H4O6P,M+0,PEP,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_167.0_79.0,"MultiquantKey(name='PEP 167/79', formula='PO3', parent='PEP 167/79', parent_formula='C3H4O6P')",15852.0,16379.87,16379.87,1.0192
14,PEP 168/79,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,653.0,1G NA,PO3,PEP 167/79,C3H4O6P,M+1,PEP,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_168.0_79.0,"MultiquantKey(name='PEP 168/79', formula='PO3', parent='PEP 167/79', parent_formula='C3H4O6P')",476.0,-41.3,0.0,-0.0026
15,PEP 169/79,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,93.0,1G NA,PO3,PEP 167/79,C3H4O6P,M+2,PEP,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_169.0_79.0,"MultiquantKey(name='PEP 169/79', formula='PO3', parent='PEP 167/79', parent_formula='C3H4O6P')",-230.0,-243.12,0.0,-0.0151
16,PEP 170/79,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,0.0,1G NA,PO3,PEP 167/79,C3H4O6P,M+3,PEP,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_170.0_79.0,"MultiquantKey(name='PEP 170/79', formula='PO3', parent='PEP 167/79', parent_formula='C3H4O6P')",-27.0,-24.45,0.0,-0.0015
17,Malate 133/115,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1396800.0,1G NA,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,4,AdamRose_Monasgh_liver_slices_9Jan19_25Mar19-1G1 Glc-5.5mMNA Gln-0.5mMNA Pyr-0.23mM_Lac-0.9mMNA | Sample Number=4 ,1G1,No label,1,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",1396800.0,1458817.92,1458817.92,1.0184
